symptom,description,category,overlap
symptom_38,Auto-generated description for symptom_38,anxiety,0.39
symptom_39,Auto-generated description for symptom_39,stress,0.15
symptom_40,Auto-generated description for symptom_40,loneliness,0.41
symptom_41,Auto-generated description for symptom_41,mood_instability,0.16
symptom_42,Auto-generated description for symptom_42,trauma,0.27
symptom_43,Auto-generated description for symptom_43,loneliness,0.55
symptom_44,Auto-generated description for symptom_44,anger,0.54
symptom_45,Auto-generated description for symptom_45,anger,0.22
symptom_46,Auto-generated description for symptom_46,anger,0.13
symptom_47,Auto-generated description for symptom_47,trauma,0.35
symptom_48,Auto-generated description for symptom_48,loneliness,0.39
symptom_49,Auto-generated description for symptom_49,anxiety,0.55
symptom_50,Auto-generated description for symptom_50,stress,0.36
symptom_51,Auto-generated description for symptom_51,anxiety,0.16
symptom_52,Auto-generated description for symptom_52,trauma,0.37
symptom_53,Auto-generated description for symptom_53,depression,0.58
symptom_54,Auto-generated description for symptom_54,depression,0.57
symptom_55,Auto-generated description for symptom_55,loneliness,0.24
symptom_56,Auto-generated description for symptom_56,anxiety,0.1
symptom_57,Auto-generated description for symptom_57,trauma,0.15
symptom_58,Auto-generated description for symptom_58,stress,0.38
symptom_59,Auto-generated description for symptom_59,mood_instability,0.45
symptom_60,Auto-generated description for symptom_60,sleep_issues,0.17
symptom_61,Auto-generated description for symptom_61,loneliness,0.57
symptom_62,Auto-generated description for symptom_62,loneliness,0.24
symptom_63,Auto-generated description for symptom_63,stress,0.32
symptom_64,Auto-generated description for symptom_64,anxiety,0.18
symptom_65,Auto-generated description for symptom_65,mood_instability,0.11
symptom_66,Auto-generated description for symptom_66,mood_instability,0.49
symptom_67,Auto-generated description for symptom_67,trauma,0.25
symptom_68,Auto-generated description for symptom_68,anxiety,0.12
symptom_69,Auto-generated description for symptom_69,sleep_issues,0.29
symptom_70,Auto-generated description for symptom_70,anxiety,0.48
symptom_71,Auto-generated description for symptom_71,mood_instability,0.53
symptom_72,Auto-generated description for symptom_72,trauma,0.12
symptom_73,Auto-generated description for symptom_73,mood_instability,0.44
symptom_74,Auto-generated description for symptom_74,depression,0.42
symptom_75,Auto-generated description for symptom_75,anxiety,0.47
symptom_76,Auto-generated description for symptom_76,anger,0.43
symptom_77,Auto-generated description for symptom_77,anger,0.54
symptom_78,Auto-generated description for symptom_78,sleep_issues,0.15
symptom_79,Auto-generated description for symptom_79,trauma,0.34
symptom_80,Auto-generated description for symptom_80,sleep_issues,0.24
symptom_81,Auto-generated description for symptom_81,sleep_issues,0.38
symptom_82,Auto-generated description for symptom_82,depression,0.29
symptom_83,Auto-generated description for symptom_83,mood_instability,0.42
symptom_84,Auto-generated description for symptom_84,anxiety,0.38
symptom_85,Auto-generated description for symptom_85,stress,0.42
symptom_86,Auto-generated description for symptom_86,anxiety,0.34
symptom_87,Auto-generated description for symptom_87,anxiety,0.11
symptom_88,Auto-generated description for symptom_88,anger,0.23
symptom_89,Auto-generated description for symptom_89,anxiety,0.48
symptom_90,Auto-generated description for symptom_90,sleep_issues,0.3
symptom_91,Auto-generated description for symptom_91,trauma,0.43
symptom_92,Auto-generated description for symptom_92,anxiety,0.24
symptom_93,Auto-generated description for symptom_93,anger,0.33
symptom_94,Auto-generated description for symptom_94,loneliness,0.51
symptom_95,Auto-generated description for symptom_95,anger,0.35
symptom_96,Auto-generated description for symptom_96,loneliness,0.24
symptom_97,Auto-generated description for symptom_97,anger,0.52
symptom_98,Auto-generated description for symptom_98,loneliness,0.44
symptom_99,Auto-generated description for symptom_99,trauma,0.15
symptom_100,Auto-generated description for symptom_100,anger,0.56
symptom_101,Auto-generated description for symptom_101,loneliness,0.46
symptom_102,Auto-generated description for symptom_102,trauma,0.41
symptom_103,Auto-generated description for symptom_103,mood_instability,0.26
symptom_104,Auto-generated description for symptom_104,trauma,0.32
symptom_105,Auto-generated description for symptom_105,mood_instability,0.28
symptom_106,Auto-generated description for symptom_106,anger,0.22
symptom_107,Auto-generated description for symptom_107,trauma,0.52
symptom_108,Auto-generated description for symptom_108,anxiety,0.51
symptom_109,Auto-generated description for symptom_109,anxiety,0.51
symptom_110,Auto-generated description for symptom_110,trauma,0.59
symptom_111,Auto-generated description for symptom_111,sleep_issues,0.47
symptom_112,Auto-generated description for symptom_112,anxiety,0.13
symptom_113,Auto-generated description for symptom_113,anxiety,0.5
symptom_114,Auto-generated description for symptom_114,anxiety,0.48
symptom_115,Auto-generated description for symptom_115,trauma,0.36
symptom_116,Auto-generated description for symptom_116,anger,0.56
symptom_117,Auto-generated description for symptom_117,stress,0.51
symptom_118,Auto-generated description for symptom_118,sleep_issues,0.13
symptom_119,Auto-generated description for symptom_119,anxiety,0.55
symptom_120,Auto-generated description for symptom_120,anger,0.13
symptom_121,Auto-generated description for symptom_121,trauma,0.59
symptom_122,Auto-generated description for symptom_122,sleep_issues,0.26
symptom_123,Auto-generated description for symptom_123,mood_instability,0.59
symptom_124,Auto-generated description for symptom_124,anger,0.2
symptom_125,Auto-generated description for symptom_125,trauma,0.42
symptom_126,Auto-generated description for symptom_126,mood_instability,0.22
symptom_127,Auto-generated description for symptom_127,depression,0.14
symptom_128,Auto-generated description for symptom_128,trauma,0.3
symptom_129,Auto-generated description for symptom_129,stress,0.21
symptom_130,Auto-generated description for symptom_130,trauma,0.44
symptom_131,Auto-generated description for symptom_131,stress,0.36
symptom_132,Auto-generated description for symptom_132,loneliness,0.21
symptom_133,Auto-generated description for symptom_133,sleep_issues,0.17
symptom_134,Auto-generated description for symptom_134,stress,0.31
symptom_135,Auto-generated description for symptom_135,trauma,0.38
symptom_136,Auto-generated description for symptom_136,sleep_issues,0.47
symptom_137,Auto-generated description for symptom_137,anxiety,0.49
symptom_138,Auto-generated description for symptom_138,trauma,0.18
symptom_139,Auto-generated description for symptom_139,anxiety,0.48
symptom_140,Auto-generated description for symptom_140,mood_instability,0.18
symptom_141,Auto-generated description for symptom_141,loneliness,0.28
symptom_142,Auto-generated description for symptom_142,mood_instability,0.32
symptom_143,Auto-generated description for symptom_143,depression,0.33
symptom_144,Auto-generated description for symptom_144,sleep_issues,0.39
symptom_145,Auto-generated description for symptom_145,mood_instability,0.41
symptom_146,Auto-generated description for symptom_146,sleep_issues,0.54
symptom_147,Auto-generated description for symptom_147,mood_instability,0.47
symptom_148,Auto-generated description for symptom_148,anger,0.17
symptom_149,Auto-generated description for symptom_149,stress,0.18
symptom_150,Auto-generated description for symptom_150,loneliness,0.52
symptom_151,Auto-generated description for symptom_151,anger,0.33
symptom_152,Auto-generated description for symptom_152,loneliness,0.2
symptom_153,Auto-generated description for symptom_153,trauma,0.17
symptom_154,Auto-generated description for symptom_154,depression,0.38
symptom_155,Auto-generated description for symptom_155,mood_instability,0.13
symptom_156,Auto-generated description for symptom_156,anxiety,0.3
symptom_157,Auto-generated description for symptom_157,mood_instability,0.18
symptom_158,Auto-generated description for symptom_158,anger,0.39
symptom_159,Auto-generated description for symptom_159,anger,0.3
symptom_160,Auto-generated description for symptom_160,anxiety,0.6
symptom_161,Auto-generated description for symptom_161,depression,0.48
symptom_162,Auto-generated description for symptom_162,trauma,0.45
symptom_163,Auto-generated description for symptom_163,anxiety,0.28
symptom_164,Auto-generated description for symptom_164,sleep_issues,0.27
symptom_165,Auto-generated description for symptom_165,mood_instability,0.45
symptom_166,Auto-generated description for symptom_166,sleep_issues,0.41
symptom_167,Auto-generated description for symptom_167,trauma,0.3
symptom_168,Auto-generated description for symptom_168,sleep_issues,0.3
symptom_169,Auto-generated description for symptom_169,loneliness,0.37
symptom_170,Auto-generated description for symptom_170,anxiety,0.3
symptom_171,Auto-generated description for symptom_171,depression,0.23
symptom_172,Auto-generated description for symptom_172,anger,0.17
symptom_173,Auto-generated description for symptom_173,mood_instability,0.19
symptom_174,Auto-generated description for symptom_174,mood_instability,0.59
symptom_175,Auto-generated description for symptom_175,trauma,0.15
symptom_176,Auto-generated description for symptom_176,trauma,0.18
symptom_177,Auto-generated description for symptom_177,depression,0.24
symptom_178,Auto-generated description for symptom_178,depression,0.46
symptom_179,Auto-generated description for symptom_179,anger,0.17
symptom_180,Auto-generated description for symptom_180,sleep_issues,0.55
symptom_181,Auto-generated description for symptom_181,anger,0.12
symptom_182,Auto-generated description for symptom_182,anger,0.14
symptom_183,Auto-generated description for symptom_183,depression,0.52
symptom_184,Auto-generated description for symptom_184,anger,0.35
symptom_185,Auto-generated description for symptom_185,anxiety,0.34
symptom_186,Auto-generated description for symptom_186,stress,0.4
symptom_187,Auto-generated description for symptom_187,anger,0.3
symptom_188,Auto-generated description for symptom_188,anxiety,0.4
symptom_189,Auto-generated description for symptom_189,depression,0.39
symptom_190,Auto-generated description for symptom_190,sleep_issues,0.22
symptom_191,Auto-generated description for symptom_191,loneliness,0.25
symptom_192,Auto-generated description for symptom_192,sleep_issues,0.22
symptom_193,Auto-generated description for symptom_193,depression,0.52
symptom_194,Auto-generated description for symptom_194,anxiety,0.57
symptom_195,Auto-generated description for symptom_195,trauma,0.43
symptom_196,Auto-generated description for symptom_196,anger,0.39
symptom_197,Auto-generated description for symptom_197,depression,0.33
symptom_198,Auto-generated description for symptom_198,loneliness,0.49
symptom_199,Auto-generated description for symptom_199,sleep_issues,0.32
symptom_200,Auto-generated description for symptom_200,depression,0.54
symptom_201,Auto-generated description for symptom_201,trauma,0.53
symptom_202,Auto-generated description for symptom_202,anger,0.15
symptom_203,Auto-generated description for symptom_203,stress,0.23
symptom_204,Auto-generated description for symptom_204,anger,0.52
symptom_205,Auto-generated description for symptom_205,trauma,0.2
symptom_206,Auto-generated description for symptom_206,stress,0.45
symptom_207,Auto-generated description for symptom_207,loneliness,0.32
symptom_208,Auto-generated description for symptom_208,mood_instability,0.12
symptom_209,Auto-generated description for symptom_209,anger,0.17
symptom_210,Auto-generated description for symptom_210,sleep_issues,0.5
symptom_211,Auto-generated description for symptom_211,sleep_issues,0.24
symptom_212,Auto-generated description for symptom_212,trauma,0.34
symptom_213,Auto-generated description for symptom_213,trauma,0.23
symptom_214,Auto-generated description for symptom_214,trauma,0.23
symptom_215,Auto-generated description for symptom_215,sleep_issues,0.13
symptom_216,Auto-generated description for symptom_216,stress,0.11
symptom_217,Auto-generated description for symptom_217,loneliness,0.33
symptom_218,Auto-generated description for symptom_218,anger,0.13
symptom_219,Auto-generated description for symptom_219,stress,0.56
symptom_220,Auto-generated description for symptom_220,stress,0.39
symptom_221,Auto-generated description for symptom_221,depression,0.4
symptom_222,Auto-generated description for symptom_222,depression,0.24
symptom_223,Auto-generated description for symptom_223,anxiety,0.43
symptom_224,Auto-generated description for symptom_224,anxiety,0.57
symptom_225,Auto-generated description for symptom_225,sleep_issues,0.55
symptom_226,Auto-generated description for symptom_226,anxiety,0.23
symptom_227,Auto-generated description for symptom_227,anxiety,0.12
symptom_228,Auto-generated description for symptom_228,stress,0.59
symptom_229,Auto-generated description for symptom_229,anxiety,0.15
symptom_230,Auto-generated description for symptom_230,sleep_issues,0.28
symptom_231,Auto-generated description for symptom_231,trauma,0.41
symptom_232,Auto-generated description for symptom_232,sleep_issues,0.3
symptom_233,Auto-generated description for symptom_233,stress,0.27
symptom_234,Auto-generated description for symptom_234,trauma,0.39
symptom_235,Auto-generated description for symptom_235,anxiety,0.49
symptom_236,Auto-generated description for symptom_236,loneliness,0.26
symptom_237,Auto-generated description for symptom_237,anger,0.57
symptom_238,Auto-generated description for symptom_238,stress,0.5
symptom_239,Auto-generated description for symptom_239,loneliness,0.51
symptom_240,Auto-generated description for symptom_240,trauma,0.27
symptom_241,Auto-generated description for symptom_241,mood_instability,0.17
symptom_242,Auto-generated description for symptom_242,stress,0.26
symptom_243,Auto-generated description for symptom_243,anxiety,0.33
symptom_244,Auto-generated description for symptom_244,anger,0.31
symptom_245,Auto-generated description for symptom_245,sleep_issues,0.25
symptom_246,Auto-generated description for symptom_246,loneliness,0.37
symptom_247,Auto-generated description for symptom_247,anxiety,0.11
symptom_248,Auto-generated description for symptom_248,anger,0.23
symptom_249,Auto-generated description for symptom_249,sleep_issues,0.32
symptom_250,Auto-generated description for symptom_250,stress,0.13
symptom_251,Auto-generated description for symptom_251,anxiety,0.41
symptom_252,Auto-generated description for symptom_252,anger,0.58
symptom_253,Auto-generated description for symptom_253,trauma,0.34
symptom_254,Auto-generated description for symptom_254,mood_instability,0.23
symptom_255,Auto-generated description for symptom_255,mood_instability,0.26
symptom_256,Auto-generated description for symptom_256,sleep_issues,0.46
symptom_257,Auto-generated description for symptom_257,loneliness,0.51
symptom_258,Auto-generated description for symptom_258,anger,0.52
symptom_259,Auto-generated description for symptom_259,loneliness,0.57
symptom_260,Auto-generated description for symptom_260,loneliness,0.3
symptom_261,Auto-generated description for symptom_261,loneliness,0.2
symptom_262,Auto-generated description for symptom_262,stress,0.47
symptom_263,Auto-generated description for symptom_263,loneliness,0.51
symptom_264,Auto-generated description for symptom_264,sleep_issues,0.18
symptom_265,Auto-generated description for symptom_265,trauma,0.22
symptom_266,Auto-generated description for symptom_266,loneliness,0.46
symptom_267,Auto-generated description for symptom_267,stress,0.34
symptom_268,Auto-generated description for symptom_268,trauma,0.37
symptom_269,Auto-generated description for symptom_269,depression,0.4
symptom_270,Auto-generated description for symptom_270,anger,0.59
symptom_271,Auto-generated description for symptom_271,mood_instability,0.26
symptom_272,Auto-generated description for symptom_272,sleep_issues,0.43
symptom_273,Auto-generated description for symptom_273,depression,0.47
symptom_274,Auto-generated description for symptom_274,stress,0.43
symptom_275,Auto-generated description for symptom_275,sleep_issues,0.25
symptom_276,Auto-generated description for symptom_276,trauma,0.59
symptom_277,Auto-generated description for symptom_277,loneliness,0.49
symptom_278,Auto-generated description for symptom_278,mood_instability,0.54
symptom_279,Auto-generated description for symptom_279,mood_instability,0.31
symptom_280,Auto-generated description for symptom_280,trauma,0.43
symptom_281,Auto-generated description for symptom_281,stress,0.46
symptom_282,Auto-generated description for symptom_282,anger,0.36
symptom_283,Auto-generated description for symptom_283,anxiety,0.12
symptom_284,Auto-generated description for symptom_284,depression,0.44
symptom_285,Auto-generated description for symptom_285,depression,0.45
symptom_286,Auto-generated description for symptom_286,depression,0.39
symptom_287,Auto-generated description for symptom_287,sleep_issues,0.26
symptom_288,Auto-generated description for symptom_288,anxiety,0.59
symptom_289,Auto-generated description for symptom_289,anxiety,0.57
symptom_290,Auto-generated description for symptom_290,sleep_issues,0.55
symptom_291,Auto-generated description for symptom_291,mood_instability,0.51
symptom_292,Auto-generated description for symptom_292,anxiety,0.55
symptom_293,Auto-generated description for symptom_293,trauma,0.49
symptom_294,Auto-generated description for symptom_294,mood_instability,0.14
symptom_295,Auto-generated description for symptom_295,stress,0.41
symptom_296,Auto-generated description for symptom_296,stress,0.32
symptom_297,Auto-generated description for symptom_297,depression,0.47
symptom_298,Auto-generated description for symptom_298,anxiety,0.31
symptom_299,Auto-generated description for symptom_299,anxiety,0.28
symptom_300,Auto-generated description for symptom_300,stress,0.42
symptom_301,Auto-generated description for symptom_301,stress,0.26
symptom_302,Auto-generated description for symptom_302,stress,0.2
symptom_303,Auto-generated description for symptom_303,loneliness,0.3
symptom_304,Auto-generated description for symptom_304,mood_instability,0.48
symptom_305,Auto-generated description for symptom_305,anxiety,0.24
symptom_306,Auto-generated description for symptom_306,trauma,0.56
symptom_307,Auto-generated description for symptom_307,depression,0.19
symptom_308,Auto-generated description for symptom_308,trauma,0.22
symptom_309,Auto-generated description for symptom_309,stress,0.16
symptom_310,Auto-generated description for symptom_310,stress,0.25
symptom_311,Auto-generated description for symptom_311,loneliness,0.49
symptom_312,Auto-generated description for symptom_312,anger,0.21
symptom_313,Auto-generated description for symptom_313,sleep_issues,0.48
symptom_314,Auto-generated description for symptom_314,stress,0.46
symptom_315,Auto-generated description for symptom_315,anxiety,0.55
symptom_316,Auto-generated description for symptom_316,depression,0.45
symptom_317,Auto-generated description for symptom_317,anger,0.2
symptom_318,Auto-generated description for symptom_318,stress,0.55
symptom_319,Auto-generated description for symptom_319,loneliness,0.44
symptom_320,Auto-generated description for symptom_320,mood_instability,0.1
symptom_321,Auto-generated description for symptom_321,anxiety,0.35
symptom_322,Auto-generated description for symptom_322,trauma,0.34
symptom_323,Auto-generated description for symptom_323,mood_instability,0.57
symptom_324,Auto-generated description for symptom_324,depression,0.46
symptom_325,Auto-generated description for symptom_325,trauma,0.15
symptom_326,Auto-generated description for symptom_326,mood_instability,0.13
symptom_327,Auto-generated description for symptom_327,sleep_issues,0.45
symptom_328,Auto-generated description for symptom_328,mood_instability,0.39
symptom_329,Auto-generated description for symptom_329,sleep_issues,0.15
symptom_330,Auto-generated description for symptom_330,trauma,0.2
symptom_331,Auto-generated description for symptom_331,trauma,0.11
symptom_332,Auto-generated description for symptom_332,anger,0.53
symptom_333,Auto-generated description for symptom_333,trauma,0.28
symptom_334,Auto-generated description for symptom_334,mood_instability,0.5
symptom_335,Auto-generated description for symptom_335,anger,0.46
symptom_336,Auto-generated description for symptom_336,mood_instability,0.45
symptom_337,Auto-generated description for symptom_337,anger,0.59
symptom_338,Auto-generated description for symptom_338,anger,0.45
symptom_339,Auto-generated description for symptom_339,sleep_issues,0.12
symptom_340,Auto-generated description for symptom_340,mood_instability,0.48
symptom_341,Auto-generated description for symptom_341,sleep_issues,0.45
symptom_342,Auto-generated description for symptom_342,depression,0.5
symptom_343,Auto-generated description for symptom_343,loneliness,0.24
symptom_344,Auto-generated description for symptom_344,stress,0.27
symptom_345,Auto-generated description for symptom_345,anxiety,0.18
symptom_346,Auto-generated description for symptom_346,loneliness,0.17
symptom_347,Auto-generated description for symptom_347,stress,0.32
symptom_348,Auto-generated description for symptom_348,loneliness,0.6
symptom_349,Auto-generated description for symptom_349,trauma,0.58
symptom_350,Auto-generated description for symptom_350,trauma,0.13
symptom_351,Auto-generated description for symptom_351,trauma,0.33
symptom_352,Auto-generated description for symptom_352,trauma,0.14
symptom_353,Auto-generated description for symptom_353,loneliness,0.29
symptom_354,Auto-generated description for symptom_354,stress,0.27
symptom_355,Auto-generated description for symptom_355,sleep_issues,0.22
symptom_356,Auto-generated description for symptom_356,loneliness,0.48
symptom_357,Auto-generated description for symptom_357,mood_instability,0.15
symptom_358,Auto-generated description for symptom_358,stress,0.3
symptom_359,Auto-generated description for symptom_359,sleep_issues,0.46
symptom_360,Auto-generated description for symptom_360,sleep_issues,0.12
symptom_361,Auto-generated description for symptom_361,anger,0.17
symptom_362,Auto-generated description for symptom_362,stress,0.12
symptom_363,Auto-generated description for symptom_363,sleep_issues,0.59
symptom_364,Auto-generated description for symptom_364,trauma,0.55
symptom_365,Auto-generated description for symptom_365,mood_instability,0.11
symptom_366,Auto-generated description for symptom_366,sleep_issues,0.35
symptom_367,Auto-generated description for symptom_367,depression,0.11
symptom_368,Auto-generated description for symptom_368,sleep_issues,0.14
symptom_369,Auto-generated description for symptom_369,stress,0.46
symptom_370,Auto-generated description for symptom_370,anxiety,0.19
symptom_371,Auto-generated description for symptom_371,depression,0.38
symptom_372,Auto-generated description for symptom_372,loneliness,0.14
symptom_373,Auto-generated description for symptom_373,sleep_issues,0.12
symptom_374,Auto-generated description for symptom_374,anxiety,0.54
symptom_375,Auto-generated description for symptom_375,depression,0.53
symptom_376,Auto-generated description for symptom_376,stress,0.45
symptom_377,Auto-generated description for symptom_377,anger,0.36
symptom_378,Auto-generated description for symptom_378,loneliness,0.26
symptom_379,Auto-generated description for symptom_379,anxiety,0.12
symptom_380,Auto-generated description for symptom_380,anger,0.59
symptom_381,Auto-generated description for symptom_381,anxiety,0.22
symptom_382,Auto-generated description for symptom_382,anxiety,0.12
symptom_383,Auto-generated description for symptom_383,stress,0.29
symptom_384,Auto-generated description for symptom_384,anger,0.37
symptom_385,Auto-generated description for symptom_385,sleep_issues,0.57
symptom_386,Auto-generated description for symptom_386,anxiety,0.47
symptom_387,Auto-generated description for symptom_387,mood_instability,0.38
symptom_388,Auto-generated description for symptom_388,sleep_issues,0.39
symptom_389,Auto-generated description for symptom_389,depression,0.1
symptom_390,Auto-generated description for symptom_390,depression,0.43
symptom_391,Auto-generated description for symptom_391,anger,0.22
symptom_392,Auto-generated description for symptom_392,sleep_issues,0.58
symptom_393,Auto-generated description for symptom_393,trauma,0.39
symptom_394,Auto-generated description for symptom_394,depression,0.34
symptom_395,Auto-generated description for symptom_395,loneliness,0.14
symptom_396,Auto-generated description for symptom_396,anxiety,0.24
symptom_397,Auto-generated description for symptom_397,anger,0.1
symptom_398,Auto-generated description for symptom_398,anxiety,0.23
symptom_399,Auto-generated description for symptom_399,stress,0.41
symptom_400,Auto-generated description for symptom_400,loneliness,0.26
symptom_401,Auto-generated description for symptom_401,depression,0.23
symptom_402,Auto-generated description for symptom_402,anger,0.23
symptom_403,Auto-generated description for symptom_403,anger,0.29
symptom_404,Auto-generated description for symptom_404,sleep_issues,0.53
symptom_405,Auto-generated description for symptom_405,loneliness,0.58
symptom_406,Auto-generated description for symptom_406,loneliness,0.53
symptom_407,Auto-generated description for symptom_407,sleep_issues,0.24
symptom_408,Auto-generated description for symptom_408,sleep_issues,0.17
symptom_409,Auto-generated description for symptom_409,mood_instability,0.57
symptom_410,Auto-generated description for symptom_410,depression,0.49
symptom_411,Auto-generated description for symptom_411,anxiety,0.46
symptom_412,Auto-generated description for symptom_412,trauma,0.48
symptom_413,Auto-generated description for symptom_413,loneliness,0.24
symptom_414,Auto-generated description for symptom_414,mood_instability,0.2
symptom_415,Auto-generated description for symptom_415,anxiety,0.57
symptom_416,Auto-generated description for symptom_416,loneliness,0.54
symptom_417,Auto-generated description for symptom_417,loneliness,0.29
symptom_418,Auto-generated description for symptom_418,loneliness,0.3
symptom_419,Auto-generated description for symptom_419,stress,0.32
symptom_420,Auto-generated description for symptom_420,anxiety,0.58
symptom_421,Auto-generated description for symptom_421,sleep_issues,0.26
symptom_422,Auto-generated description for symptom_422,depression,0.58
symptom_423,Auto-generated description for symptom_423,loneliness,0.19
symptom_424,Auto-generated description for symptom_424,depression,0.55
symptom_425,Auto-generated description for symptom_425,loneliness,0.42
symptom_426,Auto-generated description for symptom_426,sleep_issues,0.57
symptom_427,Auto-generated description for symptom_427,loneliness,0.23
symptom_428,Auto-generated description for symptom_428,anger,0.34
symptom_429,Auto-generated description for symptom_429,mood_instability,0.26
symptom_430,Auto-generated description for symptom_430,sleep_issues,0.55
symptom_431,Auto-generated description for symptom_431,anxiety,0.52
symptom_432,Auto-generated description for symptom_432,stress,0.35
symptom_433,Auto-generated description for symptom_433,stress,0.31
symptom_434,Auto-generated description for symptom_434,anger,0.12
symptom_435,Auto-generated description for symptom_435,mood_instability,0.25
symptom_436,Auto-generated description for symptom_436,anger,0.58
symptom_437,Auto-generated description for symptom_437,anxiety,0.49
symptom_438,Auto-generated description for symptom_438,stress,0.34
symptom_439,Auto-generated description for symptom_439,stress,0.46
symptom_440,Auto-generated description for symptom_440,trauma,0.15
symptom_441,Auto-generated description for symptom_441,loneliness,0.13
symptom_442,Auto-generated description for symptom_442,stress,0.13
symptom_443,Auto-generated description for symptom_443,anxiety,0.51
symptom_444,Auto-generated description for symptom_444,trauma,0.27
symptom_445,Auto-generated description for symptom_445,sleep_issues,0.42
symptom_446,Auto-generated description for symptom_446,anger,0.57
symptom_447,Auto-generated description for symptom_447,anger,0.41
symptom_448,Auto-generated description for symptom_448,stress,0.22
symptom_449,Auto-generated description for symptom_449,loneliness,0.44
symptom_450,Auto-generated description for symptom_450,loneliness,0.55
symptom_451,Auto-generated description for symptom_451,anxiety,0.11
symptom_452,Auto-generated description for symptom_452,trauma,0.24
symptom_453,Auto-generated description for symptom_453,depression,0.28
symptom_454,Auto-generated description for symptom_454,depression,0.24
symptom_455,Auto-generated description for symptom_455,loneliness,0.43
symptom_456,Auto-generated description for symptom_456,trauma,0.5
symptom_457,Auto-generated description for symptom_457,trauma,0.1
symptom_458,Auto-generated description for symptom_458,loneliness,0.52
symptom_459,Auto-generated description for symptom_459,sleep_issues,0.49
symptom_460,Auto-generated description for symptom_460,anxiety,0.22
symptom_461,Auto-generated description for symptom_461,depression,0.58
symptom_462,Auto-generated description for symptom_462,anxiety,0.12
symptom_463,Auto-generated description for symptom_463,loneliness,0.56
symptom_464,Auto-generated description for symptom_464,sleep_issues,0.49
symptom_465,Auto-generated description for symptom_465,depression,0.17
symptom_466,Auto-generated description for symptom_466,anxiety,0.16
symptom_467,Auto-generated description for symptom_467,trauma,0.13
symptom_468,Auto-generated description for symptom_468,trauma,0.58
symptom_469,Auto-generated description for symptom_469,anger,0.2
symptom_470,Auto-generated description for symptom_470,anxiety,0.37
symptom_471,Auto-generated description for symptom_471,loneliness,0.17
symptom_472,Auto-generated description for symptom_472,trauma,0.53
symptom_473,Auto-generated description for symptom_473,anger,0.56
symptom_474,Auto-generated description for symptom_474,loneliness,0.11
symptom_475,Auto-generated description for symptom_475,depression,0.48
symptom_476,Auto-generated description for symptom_476,loneliness,0.35
symptom_477,Auto-generated description for symptom_477,anxiety,0.31
symptom_478,Auto-generated description for symptom_478,depression,0.49
symptom_479,Auto-generated description for symptom_479,sleep_issues,0.31
symptom_480,Auto-generated description for symptom_480,sleep_issues,0.18
symptom_481,Auto-generated description for symptom_481,anger,0.13
symptom_482,Auto-generated description for symptom_482,anger,0.23
symptom_483,Auto-generated description for symptom_483,stress,0.43
symptom_484,Auto-generated description for symptom_484,trauma,0.42
symptom_485,Auto-generated description for symptom_485,mood_instability,0.6
symptom_486,Auto-generated description for symptom_486,sleep_issues,0.15
symptom_487,Auto-generated description for symptom_487,sleep_issues,0.58
symptom_488,Auto-generated description for symptom_488,mood_instability,0.27
