symptom,category,description,severity_hint,overlap_groups
emotional_numbness_130,PTSD,feeling emotionally disconnected (variant 130),severe,ptsd.emotion
fast_heartbeat_131,anxiety,rapid heartbeats during stress (variant 131),moderate,anxiety.physical
exhaustion_132,burnout,deep exhaustion from overwork (variant 132),moderate,burnout.energy
risky_behavior_133,bipolar,risk-taking behaviors (variant 133),mild,bipolar.impulse
fear_of_uncertainty_134,anxiety,fear of unpredictable events (variant 134),mild,anxiety.fear
risky_behavior_135,bipolar,risk-taking behaviors (variant 135),mild,bipolar.impulse
worrying_136,anxiety,chronic worrying about daily life (variant 136),moderate,anxiety.cognitive
obsessive_thoughts_137,OCD,repeating intrusive thoughts (variant 137),severe,ocd.obsession
muscle_tension_138,stress,tight muscles caused by stress (variant 138),mild,stress.physical
avoidance_triggers_139,PTSD,avoiding trauma-related cues (variant 139),moderate,ptsd.avoid
impulsiveness_140,ADHD,acting without thinking (variant 140),moderate,adhd.impulse
nightmares_141,PTSD,trauma-related nightmares (variant 141),severe,ptsd.sleep
easy_distractibility_142,ADHD,difficulty staying focused (variant 142),mild,adhd.attention
fast_heartbeat_143,anxiety,rapid heartbeats during stress (variant 143),moderate,anxiety.physical
worrying_144,anxiety,chronic worrying about daily life (variant 144),mild,anxiety.cognitive
risky_behavior_145,bipolar,risk-taking behaviors (variant 145),mild,bipolar.impulse
impulsiveness_146,ADHD,acting without thinking (variant 146),severe,adhd.impulse
hopelessness_147,depression,feeling that nothing will improve (variant 147),mild,mood.hopeless
obsessive_thoughts_148,OCD,repeating intrusive thoughts (variant 148),mild,ocd.obsession
fear_of_losing_control_149,panic_disorder,fear of losing control in public (variant 149),moderate,panic.fear
elevated_energy_150,bipolar,sharp increase in energy levels (variant 150),severe,bipolar.energy
worthlessness_151,depression,feelings of worthlessness (variant 151),moderate,mood.value
crying_spells_152,depression,unexpected crying spells (variant 152),moderate,mood.tears
hyperventilation_153,panic_disorder,breathing rapidly during episodes (variant 153),moderate,panic.breath
sweating_154,panic_disorder,sudden sweating during panic attacks (variant 154),mild,panic.physical
hopelessness_155,depression,feeling that nothing will improve (variant 155),moderate,mood.hopeless
tight_chest_156,anxiety,chest tightness during anxious moments (variant 156),moderate,anxiety.somatic
blushing_157,social_anxiety,excessive blushing in social situations (variant 157),mild,social.physical
forgetfulness_158,ADHD,consistently forgetting tasks (variant 158),mild,adhd.memory
elevated_energy_159,bipolar,sharp increase in energy levels (variant 159),severe,bipolar.energy
overthinking_160,stress,excessive thinking patterns (variant 160),mild,stress.cognitive
reduced_performance_161,burnout,decline in professional efficiency (variant 161),mild,burnout.performance
forgetfulness_162,ADHD,consistently forgetting tasks (variant 162),mild,adhd.memory
isolation_feelings_163,loneliness,persistent feeling of isolation (variant 163),mild,lonely.emotion
fast_heartbeat_164,anxiety,rapid heartbeats during stress (variant 164),moderate,anxiety.physical
fear_of_uncertainty_165,anxiety,fear of unpredictable events (variant 165),moderate,anxiety.fear
blushing_166,social_anxiety,excessive blushing in social situations (variant 166),moderate,social.physical
detachment_167,burnout,emotional distance from work life (variant 167),mild,burnout.emotion
isolation_feelings_168,loneliness,persistent feeling of isolation (variant 168),severe,lonely.emotion
risky_behavior_169,bipolar,risk-taking behaviors (variant 169),moderate,bipolar.impulse
muscle_tension_170,stress,tight muscles caused by stress (variant 170),severe,stress.physical
symmetry_needs_171,OCD,urge for symmetry and exactness (variant 171),severe,ocd.order
emotional_numbness_172,PTSD,feeling emotionally disconnected (variant 172),moderate,ptsd.emotion
contamination_fear_173,OCD,fear of contamination or germs (variant 173),mild,ocd.fear
exhaustion_174,burnout,deep exhaustion from overwork (variant 174),severe,burnout.energy
fast_heartbeat_175,anxiety,rapid heartbeats during stress (variant 175),severe,anxiety.physical
forgetfulness_176,ADHD,consistently forgetting tasks (variant 176),mild,adhd.memory
contamination_fear_177,OCD,fear of contamination or germs (variant 177),moderate,ocd.fear
obsessive_thoughts_178,OCD,repeating intrusive thoughts (variant 178),mild,ocd.obsession
fast_heartbeat_179,anxiety,rapid heartbeats during stress (variant 179),mild,anxiety.physical
hyperventilation_180,panic_disorder,breathing rapidly during episodes (variant 180),severe,panic.breath
burnout_signs_181,stress,classic burnout symptoms (variant 181),severe,stress.burnout
flashbacks_182,PTSD,sudden intrusive trauma memories (variant 182),mild,ptsd.intrusion
detachment_183,burnout,emotional distance from work life (variant 183),severe,burnout.emotion
muscle_tension_184,stress,tight muscles caused by stress (variant 184),mild,stress.physical
easy_distractibility_185,ADHD,difficulty staying focused (variant 185),mild,adhd.attention
nightmares_186,PTSD,trauma-related nightmares (variant 186),moderate,ptsd.sleep
detachment_187,burnout,emotional distance from work life (variant 187),mild,burnout.emotion
isolation_feelings_188,loneliness,persistent feeling of isolation (variant 188),moderate,lonely.emotion
nightmares_189,PTSD,trauma-related nightmares (variant 189),mild,ptsd.sleep
risky_behavior_190,bipolar,risk-taking behaviors (variant 190),severe,bipolar.impulse
obsessive_thoughts_191,OCD,repeating intrusive thoughts (variant 191),mild,ocd.obsession
crying_spells_192,depression,unexpected crying spells (variant 192),moderate,mood.tears
social_avoidance_193,social_anxiety,avoiding social interactions (variant 193),severe,social.avoid
elevated_energy_194,bipolar,sharp increase in energy levels (variant 194),mild,bipolar.energy
low_energy_195,depression,persistent low energy affecting daily life (variant 195),severe,mood.low
isolation_feelings_196,loneliness,persistent feeling of isolation (variant 196),mild,lonely.emotion
self_doubt_197,depression,frequent self-doubting thoughts (variant 197),mild,mood.self
self_doubt_198,depression,frequent self-doubting thoughts (variant 198),severe,mood.self
tight_chest_199,anxiety,chest tightness during anxious moments (variant 199),mild,anxiety.somatic
rapid_speech_200,bipolar,very fast and pressured speech (variant 200),mild,bipolar.mania
flashbacks_201,PTSD,sudden intrusive trauma memories (variant 201),severe,ptsd.intrusion
fast_heartbeat_202,anxiety,rapid heartbeats during stress (variant 202),severe,anxiety.physical
poor_sleep_203,depression,sleep difficulties linked to mood issues (variant 203),moderate,mood.sleep
avoidance_triggers_204,PTSD,avoiding trauma-related cues (variant 204),mild,ptsd.avoid
low_energy_205,depression,persistent low energy affecting daily life (variant 205),severe,mood.low
risky_behavior_206,bipolar,risk-taking behaviors (variant 206),moderate,bipolar.impulse
symmetry_needs_207,OCD,urge for symmetry and exactness (variant 207),moderate,ocd.order
depressive_crash_208,bipolar,abrupt drop into depressive symptoms (variant 208),moderate,bipolar.depression
fear_of_uncertainty_209,anxiety,fear of unpredictable events (variant 209),mild,anxiety.fear
self_doubt_210,depression,frequent self-doubting thoughts (variant 210),mild,mood.self
fast_heartbeat_211,anxiety,rapid heartbeats during stress (variant 211),mild,anxiety.physical
risky_behavior_212,bipolar,risk-taking behaviors (variant 212),mild,bipolar.impulse
self_doubt_213,depression,frequent self-doubting thoughts (variant 213),severe,mood.self
fast_heartbeat_214,anxiety,rapid heartbeats during stress (variant 214),severe,anxiety.physical
worthlessness_215,depression,feelings of worthlessness (variant 215),severe,mood.value
fear_of_uncertainty_216,anxiety,fear of unpredictable events (variant 216),moderate,anxiety.fear
dizziness_217,anxiety,feeling dizzy during tense moments (variant 217),severe,anxiety.physical
nightmares_218,PTSD,trauma-related nightmares (variant 218),severe,ptsd.sleep
symmetry_needs_219,OCD,urge for symmetry and exactness (variant 219),moderate,ocd.order
fear_of_judgment_220,social_anxiety,fear of negative evaluation (variant 220),moderate,social.fear
symmetry_needs_221,OCD,urge for symmetry and exactness (variant 221),moderate,ocd.order
tight_chest_222,anxiety,chest tightness during anxious moments (variant 222),severe,anxiety.somatic
social_avoidance_223,social_anxiety,avoiding social interactions (variant 223),moderate,social.avoid
muscle_tension_224,stress,tight muscles caused by stress (variant 224),moderate,stress.physical
reduced_performance_225,burnout,decline in professional efficiency (variant 225),mild,burnout.performance
avoidance_triggers_226,PTSD,avoiding trauma-related cues (variant 226),severe,ptsd.avoid
fidgeting_227,ADHD,inability to stay still (variant 227),severe,adhd.behavior
checking_behavior_228,OCD,checking locks or stoves repeatedly (variant 228),moderate,ocd.compulsion
risky_behavior_229,bipolar,risk-taking behaviors (variant 229),mild,bipolar.impulse
exhaustion_230,burnout,deep exhaustion from overwork (variant 230),severe,burnout.energy
rapid_speech_231,bipolar,very fast and pressured speech (variant 231),moderate,bipolar.mania
flashbacks_232,PTSD,sudden intrusive trauma memories (variant 232),severe,ptsd.intrusion
contamination_fear_233,OCD,fear of contamination or germs (variant 233),moderate,ocd.fear
detachment_234,burnout,emotional distance from work life (variant 234),moderate,burnout.emotion
social_avoidance_235,social_anxiety,avoiding social interactions (variant 235),mild,social.avoid
fidgeting_236,ADHD,inability to stay still (variant 236),mild,adhd.behavior
elevated_energy_237,bipolar,sharp increase in energy levels (variant 237),mild,bipolar.energy
fear_of_uncertainty_238,anxiety,fear of unpredictable events (variant 238),mild,anxiety.fear
worthlessness_239,depression,feelings of worthlessness (variant 239),moderate,mood.value
worrying_240,anxiety,chronic worrying about daily life (variant 240),moderate,anxiety.cognitive
reduced_performance_241,burnout,decline in professional efficiency (variant 241),moderate,burnout.performance
blushing_242,social_anxiety,excessive blushing in social situations (variant 242),moderate,social.physical
tight_chest_243,anxiety,chest tightness during anxious moments (variant 243),moderate,anxiety.somatic
fast_heartbeat_244,anxiety,rapid heartbeats during stress (variant 244),mild,anxiety.physical
detachment_245,burnout,emotional distance from work life (variant 245),moderate,burnout.emotion
lack_of_connection_246,loneliness,difficulty connecting with others (variant 246),severe,lonely.social
elevated_energy_247,bipolar,sharp increase in energy levels (variant 247),severe,bipolar.energy
crying_spells_248,depression,unexpected crying spells (variant 248),mild,mood.tears
forgetfulness_249,ADHD,consistently forgetting tasks (variant 249),moderate,adhd.memory
hyperventilation_250,panic_disorder,breathing rapidly during episodes (variant 250),mild,panic.breath
exhaustion_251,burnout,deep exhaustion from overwork (variant 251),severe,burnout.energy
fidgeting_252,ADHD,inability to stay still (variant 252),moderate,adhd.behavior
dizziness_253,anxiety,feeling dizzy during tense moments (variant 253),mild,anxiety.physical
worrying_254,anxiety,chronic worrying about daily life (variant 254),mild,anxiety.cognitive
impulsiveness_255,ADHD,acting without thinking (variant 255),severe,adhd.impulse
depressive_crash_256,bipolar,abrupt drop into depressive symptoms (variant 256),severe,bipolar.depression
easy_distractibility_257,ADHD,difficulty staying focused (variant 257),severe,adhd.attention
dizziness_258,anxiety,feeling dizzy during tense moments (variant 258),mild,anxiety.physical
forgetfulness_259,ADHD,consistently forgetting tasks (variant 259),severe,adhd.memory
worrying_260,anxiety,chronic worrying about daily life (variant 260),mild,anxiety.cognitive
rapid_speech_261,bipolar,very fast and pressured speech (variant 261),mild,bipolar.mania
self_doubt_262,depression,frequent self-doubting thoughts (variant 262),severe,mood.self
impulsiveness_263,ADHD,acting without thinking (variant 263),moderate,adhd.impulse
worthlessness_264,depression,feelings of worthlessness (variant 264),moderate,mood.value
sweating_265,panic_disorder,sudden sweating during panic attacks (variant 265),severe,panic.physical
restlessness_266,anxiety,persistent restless feelings (variant 266),mild,anxiety.general
burnout_signs_267,stress,classic burnout symptoms (variant 267),moderate,stress.burnout
social_avoidance_268,social_anxiety,avoiding social interactions (variant 268),mild,social.avoid
obsessive_thoughts_269,OCD,repeating intrusive thoughts (variant 269),moderate,ocd.obsession
impulsiveness_270,ADHD,acting without thinking (variant 270),moderate,adhd.impulse
exhaustion_271,burnout,deep exhaustion from overwork (variant 271),mild,burnout.energy
blushing_272,social_anxiety,excessive blushing in social situations (variant 272),moderate,social.physical
impulsiveness_273,ADHD,acting without thinking (variant 273),severe,adhd.impulse
restlessness_274,anxiety,persistent restless feelings (variant 274),mild,anxiety.general
poor_sleep_275,depression,sleep difficulties linked to mood issues (variant 275),mild,mood.sleep
sweating_276,panic_disorder,sudden sweating during panic attacks (variant 276),severe,panic.physical
worrying_277,anxiety,chronic worrying about daily life (variant 277),severe,anxiety.cognitive
fast_heartbeat_278,anxiety,rapid heartbeats during stress (variant 278),moderate,anxiety.physical
fidgeting_279,ADHD,inability to stay still (variant 279),moderate,adhd.behavior
burnout_signs_280,stress,classic burnout symptoms (variant 280),severe,stress.burnout
fear_of_losing_control_281,panic_disorder,fear of losing control in public (variant 281),moderate,panic.fear
fear_of_losing_control_282,panic_disorder,fear of losing control in public (variant 282),moderate,panic.fear
sweating_283,panic_disorder,sudden sweating during panic attacks (variant 283),severe,panic.physical
blushing_284,social_anxiety,excessive blushing in social situations (variant 284),moderate,social.physical
fidgeting_285,ADHD,inability to stay still (variant 285),mild,adhd.behavior
self_doubt_286,depression,frequent self-doubting thoughts (variant 286),severe,mood.self
easy_distractibility_287,ADHD,difficulty staying focused (variant 287),severe,adhd.attention
fear_of_uncertainty_288,anxiety,fear of unpredictable events (variant 288),moderate,anxiety.fear
contamination_fear_289,OCD,fear of contamination or germs (variant 289),severe,ocd.fear
low_energy_290,depression,persistent low energy affecting daily life (variant 290),mild,mood.low
trembling_291,panic_disorder,full-body trembling (variant 291),mild,panic.somatic
fast_heartbeat_292,anxiety,rapid heartbeats during stress (variant 292),severe,anxiety.physical
muscle_tension_293,stress,tight muscles caused by stress (variant 293),severe,stress.physical
flashbacks_294,PTSD,sudden intrusive trauma memories (variant 294),severe,ptsd.intrusion
lack_of_connection_295,loneliness,difficulty connecting with others (variant 295),severe,lonely.social
worrying_296,anxiety,chronic worrying about daily life (variant 296),severe,anxiety.cognitive
forgetfulness_297,ADHD,consistently forgetting tasks (variant 297),severe,adhd.memory
social_withdrawal_298,depression,avoiding social interactions (variant 298),severe,mood.isolation
worrying_299,anxiety,chronic worrying about daily life (variant 299),severe,anxiety.cognitive
social_withdrawal_300,depression,avoiding social interactions (variant 300),moderate,mood.isolation
fidgeting_301,ADHD,inability to stay still (variant 301),severe,adhd.behavior
hopelessness_302,depression,feeling that nothing will improve (variant 302),moderate,mood.hopeless
burnout_signs_303,stress,classic burnout symptoms (variant 303),moderate,stress.burnout
detachment_304,burnout,emotional distance from work life (variant 304),mild,burnout.emotion
hopelessness_305,depression,feeling that nothing will improve (variant 305),mild,mood.hopeless
elevated_energy_306,bipolar,sharp increase in energy levels (variant 306),severe,bipolar.energy
fast_heartbeat_307,anxiety,rapid heartbeats during stress (variant 307),moderate,anxiety.physical
contamination_fear_308,OCD,fear of contamination or germs (variant 308),mild,ocd.fear
detachment_309,burnout,emotional distance from work life (variant 309),severe,burnout.emotion
checking_behavior_310,OCD,checking locks or stoves repeatedly (variant 310),severe,ocd.compulsion
worrying_311,anxiety,chronic worrying about daily life (variant 311),severe,anxiety.cognitive
contamination_fear_312,OCD,fear of contamination or germs (variant 312),moderate,ocd.fear
dizziness_313,anxiety,feeling dizzy during tense moments (variant 313),mild,anxiety.physical
rapid_speech_314,bipolar,very fast and pressured speech (variant 314),mild,bipolar.mania
elevated_energy_315,bipolar,sharp increase in energy levels (variant 315),mild,bipolar.energy
reduced_performance_316,burnout,decline in professional efficiency (variant 316),severe,burnout.performance
lack_of_connection_317,loneliness,difficulty connecting with others (variant 317),mild,lonely.social
sweating_318,panic_disorder,sudden sweating during panic attacks (variant 318),severe,panic.physical
fear_of_judgment_319,social_anxiety,fear of negative evaluation (variant 319),severe,social.fear
poor_sleep_320,depression,sleep difficulties linked to mood issues (variant 320),severe,mood.sleep
worrying_321,anxiety,chronic worrying about daily life (variant 321),mild,anxiety.cognitive
social_withdrawal_322,depression,avoiding social interactions (variant 322),moderate,mood.isolation
self_doubt_323,depression,frequent self-doubting thoughts (variant 323),moderate,mood.self
blushing_324,social_anxiety,excessive blushing in social situations (variant 324),mild,social.physical
flashbacks_325,PTSD,sudden intrusive trauma memories (variant 325),severe,ptsd.intrusion
blushing_326,social_anxiety,excessive blushing in social situations (variant 326),moderate,social.physical
worrying_327,anxiety,chronic worrying about daily life (variant 327),mild,anxiety.cognitive
impulsiveness_328,ADHD,acting without thinking (variant 328),moderate,adhd.impulse
fidgeting_329,ADHD,inability to stay still (variant 329),severe,adhd.behavior
avoidance_triggers_330,PTSD,avoiding trauma-related cues (variant 330),severe,ptsd.avoid
exhaustion_331,burnout,deep exhaustion from overwork (variant 331),mild,burnout.energy
checking_behavior_332,OCD,checking locks or stoves repeatedly (variant 332),moderate,ocd.compulsion
tight_chest_333,anxiety,chest tightness during anxious moments (variant 333),moderate,anxiety.somatic
poor_sleep_334,depression,sleep difficulties linked to mood issues (variant 334),severe,mood.sleep
symmetry_needs_335,OCD,urge for symmetry and exactness (variant 335),severe,ocd.order
lack_of_connection_336,loneliness,difficulty connecting with others (variant 336),mild,lonely.social
nightmares_337,PTSD,trauma-related nightmares (variant 337),moderate,ptsd.sleep
muscle_tension_338,stress,tight muscles caused by stress (variant 338),severe,stress.physical
contamination_fear_339,OCD,fear of contamination or germs (variant 339),moderate,ocd.fear
overthinking_340,stress,excessive thinking patterns (variant 340),mild,stress.cognitive
lack_of_connection_341,loneliness,difficulty connecting with others (variant 341),mild,lonely.social
easy_distractibility_342,ADHD,difficulty staying focused (variant 342),mild,adhd.attention
lack_of_connection_343,loneliness,difficulty connecting with others (variant 343),mild,lonely.social
burnout_signs_344,stress,classic burnout symptoms (variant 344),mild,stress.burnout
worrying_345,anxiety,chronic worrying about daily life (variant 345),mild,anxiety.cognitive
fear_of_judgment_346,social_anxiety,fear of negative evaluation (variant 346),mild,social.fear
risky_behavior_347,bipolar,risk-taking behaviors (variant 347),mild,bipolar.impulse
